Monitoring Date,Officer ID,Officer Name,Office Location,Site ID,Site Name,Site Location,Activity ID,Activity Type,Activity Description,Activity Duration (hours),Equipment Used,Pollution Level Detected,Compliance Status,Community Feedback Rating,Transaction ID,Incentive Received,Compliance Target Achieved
13-06-2022,11,Fiona Wilson,Newcastle,5,Watagan Mountains,"Turton Road, Waratah, NSW 2298",305,Air Quality Check,Description 149,1.75,Equipment 6,301.37,Compliant,5,279,No,
11-05-2022,23,Zoe Ward,Sydney,17,King Edward Park,"Reserve Road, Newcastle, NSW 2300",773,Water Quality Test,Description 49,7.18,Equipment 3,283.13,Non-Compliant,1,662,No,
21-12-2022,24,Fiona Wilson,Melbourne,1,Blackbutt Nature Reserve,"Federation Square, Melbourne, VIC 3000",371,Air Quality Check,Description 180,4.77,Equipment 3,486.88,Compliant,5,3496,No,
02-08-2022,14,Hannah Moore,Brisbane,3,King Edward Park,"South Bank, Brisbane, QLD 4101",173,Soil Quality Test,Description 144,1.86,Equipment 15,175.85,Non-Compliant,4,4217,Yes,Yes
11-11-2022,7,Uma Allen,Perth,12,Newcastle Beach,"Kings Park, Perth, WA 6005",621,Noise Level Measurement,Description 76,2.17,Equipment 15,127.42,Compliant,1,2301,No,
16-11-2022,15,Kate Harris,Adelaide,2,Merewether Beach,"Rundle Mall, Adelaide, SA 5000",342,Air Quality Check,Description 32,3.03,Equipment 13,277.6,Non-Compliant,1,2365,No,
29-03-2022,1,Isabella Thompson,Hobart,13,Jesmond Park,"Salamanca Place, Hobart, TAS 7000",799,Air Quality Check,Description 141,5.77,Equipment 19,75.13,Compliant,2,4945,No,
28-07-2022,17,Rachel King,Darwin,7,Speers Point Park,"Mindil Beach, Darwin, NT 0820",503,Soil Quality Test,Description 123,5.59,Equipment 8,168.89,Non-Compliant,1,1553,Yes,Yes
26-09-2022,11,Jane White,Canberra,21,Warners Bay Foreshore,"Lake Burley Griffin, Canberra, ACT 2600",977,Soil Quality Test,Description 39,4.95,Equipment 16,37.03,Non-Compliant,5,1604,Yes,Yes
03-10-2022,2,Ella Brown,Gold Coast,3,Redhead Beach,"Broadbeach, Gold Coast, QLD 4218",508,Water Quality Test,Description 20,4.72,Equipment 4,396.51,Compliant,5,1648,No,
27-08-2022,5,Diana Taylor,Newcastle,24,Glenrock State Conservation Area,"Shortland Esplanade, Newcastle, NSW 2300",856,Noise Level Measurement,Description 74,2.26,Equipment 6,124.42,Non-Compliant,3,3025,Yes,No
24-03-2022,6,Jane White,Sydney,18,Hunter Wetlands Centre,"Darling Harbour, Sydney, NSW 2000",652,Soil Quality Test,Description 182,4.75,Equipment 16,41.62,Compliant,5,3374,No,
26-09-2022,24,Uma Allen,Melbourne,15,Croudace Bay Park,"Brooks Parade, Belmont, NSW 2280",471,Noise Level Measurement,Description 143,3.16,Equipment 4,294.12,Compliant,5,2227,Yes,Yes
20-02-2022,5,Vicky Turner,Brisbane,2,Belmont Wetlands State Park,"Queen Street Mall, Brisbane, QLD 4000",361,Soil Quality Test,Description 103,4.03,Equipment 20,104.56,Compliant,1,4827,Yes,Yes
30-10-2022,15,Jane White,Perth,19,Charlestown Park,"Kings Park, Perth, WA 6005",274,Water Quality Test,Description 70,6.32,Equipment 3,274.94,Non-Compliant,4,1955,Yes,Yes
06-10-2022,3,Isabella Thompson,Adelaide,23,Mount Sugarloaf,"Glenelg Beach, Adelaide, SA 5045",288,Air Quality Check,Description 163,7.02,Equipment 6,11.2,Compliant,3,2300,No,
30-06-2022,22,Yvonne Cook,Hobart,2,Charlestown Park,"Salamanca Place, Hobart, TAS 7000",272,Soil Quality Test,Description 120,7.89,Equipment 11,174.67,Compliant,3,3058,No,
07-04-2022,10,Xena Perez,Darwin,10,Toronto Foreshore,"Mindil Beach, Darwin, NT 0820",179,Noise Level Measurement,Description 118,2.72,Equipment 8,175.82,Non-Compliant,1,1896,Yes,Yes
29-01-2022,7,Grace Jones,Canberra,13,Watagan Mountains,"Parliament House, Canberra, ACT 2600",636,Noise Level Measurement,Description 81,6.55,Equipment 2,97.04,Non-Compliant,4,164,No,
28-02-2022,5,Uma Allen,Gold Coast,20,Awaba State Forest,"Broadbeach, Gold Coast, QLD 4218",789,Soil Quality Test,Description 149,2.77,Equipment 6,45.97,Non-Compliant,5,4795,Yes,No
19-01-2022,4,Olivia Hall,Newcastle,10,Heaton State Forest,"Wharf Road, Newcastle East, NSW 2300",337,Noise Level Measurement,Description 179,6.05,Equipment 1,320.83,Compliant,4,2605,Yes,No
11-09-2022,2,Paula Young,Sydney,22,Lambton Park,"Darling Harbour, Sydney, NSW 2000",19,Water Quality Test,Description 11,5.26,Equipment 2,373.56,Compliant,1,279,Yes,No
17-11-2022,16,Catherine Lee,Melbourne,23,Richley Reserve,"Federation Square, Melbourne, VIC 3000",119,Soil Quality Test,Description 131,6.22,Equipment 6,460.72,Compliant,1,1920,Yes,Yes
22-12-2022,7,Wendy Mitchell,Brisbane,11,Richley Reserve,"South Bank, Brisbane, QLD 4101",532,Water Quality Test,Description 175,7.13,Equipment 18,23.29,Non-Compliant,4,4744,Yes,No
31-12-2022,3,Hannah Moore,Perth,6,Braye Park,"Turton Road, Waratah, NSW 2298",804,Noise Level Measurement,Description 115,1.13,Equipment 11,481.58,Compliant,2,3865,No,
11-01-2022,19,Vicky Turner,Adelaide,12,King Edward Park,"Glenelg Beach, Adelaide, SA 5045",514,Water Quality Test,Description 65,4.34,Equipment 20,191.12,Non-Compliant,3,2376,Yes,No
17-03-2022,13,Isabella Thompson,Hobart,17,Blackbutt Nature Reserve,"Carnley Avenue, Kotara, NSW 2289",404,Soil Quality Test,Description 37,7.15,Equipment 4,217.06,Compliant,4,1080,Yes,No
27-09-2022,24,Tina Scott,Darwin,4,King Edward Park,"Mindil Beach, Darwin, NT 0820",650,Water Quality Test,Description 11,5.8,Equipment 6,153.95,Compliant,2,4454,No,
12-05-2022,20,Diana Taylor,Canberra,9,Newcastle Beach,"Parliament House, Canberra, ACT 2600",287,Soil Quality Test,Description 171,7.11,Equipment 8,106.64,Compliant,2,1154,Yes,No
06-03-2022,5,Wendy Mitchell,Gold Coast,4,Merewether Beach,"John Parade, Merewether, NSW 2291",964,Air Quality Check,Description 106,6.8,Equipment 10,134.84,Non-Compliant,1,506,No,
27-10-2022,4,Fiona Wilson,Newcastle,12,Nobbys Beach,"Shortland Esplanade, Newcastle, NSW 2300",634,Noise Level Measurement,Description 196,5.71,Equipment 20,158.75,Non-Compliant,4,3957,No,
21-05-2022,21,Ella Brown,Sydney,16,Awaba State Forest,"Reserve Road, Newcastle, NSW 2300",323,Air Quality Check,Description 178,7.43,Equipment 20,429.23,Compliant,4,958,No,
20-12-2022,12,Vicky Turner,Melbourne,12,Warners Bay Foreshore,"St Kilda Road, Melbourne, VIC 3004",767,Noise Level Measurement,Description 11,6.71,Equipment 14,145.97,Compliant,3,2444,No,
14-03-2022,4,Samantha Wright,Brisbane,10,Redhead Beach,"South Bank, Brisbane, QLD 4101",971,Soil Quality Test,Description 175,2.38,Equipment 5,263,Non-Compliant,4,352,No,
12-09-2022,16,Vicky Turner,Perth,21,Glenrock State Conservation Area,"Kings Park, Perth, WA 6005",27,Water Quality Test,Description 7,6.98,Equipment 19,277.03,Compliant,5,286,No,
19-02-2022,14,Olivia Hall,Adelaide,11,Hunter Wetlands Centre,"Rundle Mall, Adelaide, SA 5000",741,Soil Quality Test,Description 97,5.65,Equipment 9,296.17,Non-Compliant,5,2160,Yes,No
15-09-2022,14,Natalie Walker,Hobart,9,Braye Park,"Mount Wellington, Hobart, TAS 7054",835,Air Quality Check,Description 69,6.83,Equipment 10,437.01,Compliant,1,4635,Yes,Yes
26-06-2022,24,Xena Perez,Darwin,23,Belmont Wetlands State Park,"Mindil Beach, Darwin, NT 0820",985,Noise Level Measurement,Description 56,5.59,Equipment 12,126.46,Non-Compliant,4,3589,Yes,No
18-10-2022,3,Vicky Turner,Canberra,7,Jesmond Park,"Lake Burley Griffin, Canberra, ACT 2600",865,Water Quality Test,Description 98,5.17,Equipment 5,229.9,Compliant,3,3577,Yes,Yes
28-02-2022,9,Uma Allen,Gold Coast,4,Mount Sugarloaf,"Surfers Paradise Beach, Gold Coast, QLD 4217",51,Noise Level Measurement,Description 42,6.06,Equipment 7,317.23,Non-Compliant,5,661,No,
14-04-2022,23,Samantha Wright,Newcastle,20,Charlestown Park,"Shortland Esplanade, Newcastle, NSW 2300",282,Soil Quality Test,Description 24,7.81,Equipment 4,133.88,Non-Compliant,5,3971,No,
15-07-2022,23,Samantha Wright,Sydney,8,Toronto Foreshore,"Darling Harbour, Sydney, NSW 2000",189,Noise Level Measurement,Description 12,2.99,Equipment 14,278.06,Compliant,5,4724,Yes,No
18-08-2022,4,Ella Brown,Melbourne,2,Watagan Mountains,"Federation Square, Melbourne, VIC 3000",299,Soil Quality Test,Description 157,3.61,Equipment 19,320.65,Non-Compliant,3,1261,No,
06-02-2022,11,Xena Perez,Brisbane,4,Awaba State Forest,"South Bank, Brisbane, QLD 4101",296,Air Quality Check,Description 159,2,Equipment 20,50.51,Compliant,3,4213,No,
21-04-2022,10,Fiona Wilson,Perth,24,Heaton State Forest,"Cottesloe Beach, Perth, WA 6011",838,Soil Quality Test,Description 181,4.07,Equipment 18,109.2,Non-Compliant,2,2924,No,
26-05-2022,9,Catherine Lee,Adelaide,1,Lambton Park,"Rundle Mall, Adelaide, SA 5000",353,Air Quality Check,Description 166,3.87,Equipment 12,15.14,Compliant,4,2649,No,
05-04-2022,18,Samantha Wright,Hobart,5,Richley Reserve,"Carnley Avenue, Kotara, NSW 2289",606,Soil Quality Test,Description 136,6.38,Equipment 19,363.46,Compliant,3,4919,No,
01-08-2022,21,Kate Harris,Darwin,16,Braye Park,"Darwin Waterfront, Darwin, NT 0800",371,Water Quality Test,Description 130,1.91,Equipment 5,387.76,Compliant,5,2699,No,
18-11-2022,2,Grace Jones,Canberra,17,Waratah Park,"Lake Burley Griffin, Canberra, ACT 2600",570,Noise Level Measurement,Description 182,1.81,Equipment 9,426.64,Compliant,2,1848,Yes,No
15-12-2022,21,Zoe Ward,Gold Coast,22,King Edward Park,"Surfers Paradise Beach, Gold Coast, QLD 4217",986,Soil Quality Test,Description 94,6.35,Equipment 11,9.55,Non-Compliant,3,4366,Yes,Yes
15-03-2022,19,Diana Taylor,Newcastle,4,Blackbutt Nature Reserve,"Carnley Avenue, Kotara, NSW 2289",160,Noise Level Measurement,Description 74,1.94,Equipment 13,449.16,Compliant,4,4361,Yes,Yes
29-06-2022,14,Catherine Lee,Sydney,21,King Edward Park,"Reserve Road, Newcastle, NSW 2300",990,Noise Level Measurement,Description 131,2.29,Equipment 14,405.75,Non-Compliant,1,2661,No,
11-12-2022,1,Diana Taylor,Melbourne,13,Newcastle Beach,"St Kilda Road, Melbourne, VIC 3004",793,Water Quality Test,Description 117,2.97,Equipment 16,405.4,Compliant,1,4099,Yes,Yes
21-02-2022,1,Isabella Thompson,Brisbane,8,Merewether Beach,"South Bank, Brisbane, QLD 4101",942,Soil Quality Test,Description 106,2.53,Equipment 7,242.17,Compliant,2,966,Yes,No
28-10-2022,21,Uma Allen,Perth,23,Nobbys Beach,"Kings Park, Perth, WA 6005",357,Water Quality Test,Description 5,6.93,Equipment 20,341.27,Non-Compliant,4,456,No,
28-08-2022,5,Diana Taylor,Adelaide,11,Speers Point Park,"Glenelg Beach, Adelaide, SA 5045",850,Water Quality Test,Description 110,6.77,Equipment 4,116.07,Compliant,1,674,Yes,No
30-07-2022,15,Diana Taylor,Hobart,17,Warners Bay Foreshore,"Mount Wellington, Hobart, TAS 7054",137,Water Quality Test,Description 196,1.03,Equipment 6,140.94,Non-Compliant,1,3137,Yes,No
01-07-2022,11,Diana Taylor,Darwin,1,Redhead Beach,"Mindil Beach, Darwin, NT 0820",766,Soil Quality Test,Description 21,1.12,Equipment 2,156.54,Compliant,1,2514,Yes,No
12-05-2022,20,Vicky Turner,Canberra,11,Lambton Park,"Lake Burley Griffin, Canberra, ACT 2600",22,Soil Quality Test,Description 188,4.63,Equipment 1,71.43,Non-Compliant,4,507,Yes,Yes
26-08-2022,8,Zoe Ward,Gold Coast,7,Hunter Wetlands Centre,"Broadbeach, Gold Coast, QLD 4218",807,Water Quality Test,Description 2,5.87,Equipment 13,331.04,Non-Compliant,1,484,Yes,Yes
01-05-2022,14,Ella Brown,Newcastle,7,Croudace Bay Park,"John Parade, Merewether, NSW 2291",953,Soil Quality Test,Description 78,5.66,Equipment 11,172.86,Compliant,5,2390,Yes,Yes
26-12-2022,13,Wendy Mitchell,Sydney,2,Belmont Wetlands State Park,"Reserve Road, Newcastle, NSW 2300",977,Noise Level Measurement,Description 168,1.94,Equipment 18,197.56,Compliant,2,516,Yes,No
17-09-2022,18,Natalie Walker,Melbourne,8,Jesmond Park,"St Kilda Road, Melbourne, VIC 3004",763,Water Quality Test,Description 6,3.47,Equipment 5,191.34,Compliant,4,3702,No,
19-11-2022,17,Vicky Turner,Brisbane,13,Mount Sugarloaf,"Queen Street Mall, Brisbane, QLD 4000",796,Soil Quality Test,Description 123,6.95,Equipment 16,261.08,Compliant,2,3278,No,
08-12-2022,8,Hannah Moore,Perth,2,Charlestown Park,"Kings Park, Perth, WA 6005",395,Air Quality Check,Description 154,3.92,Equipment 19,324.28,Compliant,3,4114,Yes,Yes
01-07-2022,15,Grace Jones,Adelaide,23,Newcastle Beach,"Glenelg Beach, Adelaide, SA 5045",321,Water Quality Test,Description 181,1.27,Equipment 7,424.89,Compliant,3,3478,Yes,Yes
03-08-2022,23,Kate Harris,Hobart,20,Watagan Mountains,"Salamanca Place, Hobart, TAS 7000",8,Water Quality Test,Description 52,1.25,Equipment 1,79.02,Non-Compliant,3,804,Yes,No
20-05-2022,1,Tina Scott,Darwin,7,Awaba State Forest,"Mindil Beach, Darwin, NT 0820",744,Soil Quality Test,Description 21,3.02,Equipment 11,218.78,Compliant,4,660,No,
10-08-2022,4,Vicky Turner,Canberra,2,Heaton State Forest,"Lake Burley Griffin, Canberra, ACT 2600",795,Water Quality Test,Description 151,3.44,Equipment 20,131.53,Compliant,4,275,No,
09-07-2022,21,Yvonne Cook,Gold Coast,5,Lambton Park,"Surfers Paradise Beach, Gold Coast, QLD 4217",59,Noise Level Measurement,Description 118,2.74,Equipment 15,114.53,Non-Compliant,5,4490,Yes,No
11-06-2022,23,Jane White,Newcastle,2,Richley Reserve,"John Parade, Merewether, NSW 2291",401,Noise Level Measurement,Description 149,7.65,Equipment 13,339.73,Non-Compliant,2,4886,Yes,Yes
10-05-2022,15,Ella Brown,Sydney,3,Braye Park,"Darling Harbour, Sydney, NSW 2000",408,Air Quality Check,Description 148,7.39,Equipment 1,15.47,Compliant,3,3007,Yes,No
06-11-2022,17,Megan Lewis,Melbourne,5,Waratah Park,"St Kilda Road, Melbourne, VIC 3004",970,Water Quality Test,Description 192,6.31,Equipment 9,73.46,Non-Compliant,2,2845,No,
22-11-2022,11,Natalie Walker,Brisbane,21,King Edward Park,"South Bank, Brisbane, QLD 4101",791,Water Quality Test,Description 82,3.33,Equipment 7,11.44,Compliant,3,886,No,
11-04-2022,13,Megan Lewis,Perth,21,Blackbutt Nature Reserve,"Cottesloe Beach, Perth, WA 6011",201,Noise Level Measurement,Description 39,2.65,Equipment 9,273.22,Compliant,2,3740,No,
14-12-2022,18,Isabella Thompson,Adelaide,19,King Edward Park,"Reserve Road, Newcastle, NSW 2300",86,Water Quality Test,Description 143,4.34,Equipment 17,331.94,Non-Compliant,5,3906,No,
11-04-2022,17,Hannah Moore,Hobart,9,Newcastle Beach,"Salamanca Place, Hobart, TAS 7000",747,Soil Quality Test,Description 179,4.43,Equipment 5,275.11,Compliant,5,3015,Yes,Yes
16-07-2022,4,Wendy Mitchell,Darwin,19,Merewether Beach,"Darwin Waterfront, Darwin, NT 0800",519,Soil Quality Test,Description 144,3.78,Equipment 19,146.19,Non-Compliant,4,2180,No,
31-05-2022,4,Isabella Thompson,Canberra,21,Nobbys Beach,"Lake Burley Griffin, Canberra, ACT 2600",71,Air Quality Check,Description 123,7.61,Equipment 16,481.05,Compliant,4,2339,Yes,Yes
17-10-2022,8,Rachel King,Gold Coast,7,Speers Point Park,"Broadbeach, Gold Coast, QLD 4218",244,Soil Quality Test,Description 36,2.55,Equipment 11,497.36,Non-Compliant,1,1440,No,
25-06-2022,23,Catherine Lee,Newcastle,20,Warners Bay Foreshore,"John Parade, Merewether, NSW 2291",758,Noise Level Measurement,Description 6,5.09,Equipment 11,98.77,Compliant,3,2531,Yes,Yes
24-07-2022,4,Hannah Moore,Sydney,22,Redhead Beach,"Beach Road, Redhead, NSW 2290",160,Water Quality Test,Description 86,7.45,Equipment 8,100.74,Non-Compliant,5,470,No,
07-04-2022,11,Xena Perez,Melbourne,3,Glenrock State Conservation Area,"Federation Square, Melbourne, VIC 3000",839,Air Quality Check,Description 37,3.65,Equipment 19,13.22,Compliant,4,3057,No,
13-12-2022,12,Zoe Ward,Brisbane,1,Jesmond Park,"Queen Street Mall, Brisbane, QLD 4000",699,Air Quality Check,Description 44,7.87,Equipment 9,196.72,Compliant,2,1942,Yes,Yes
11-09-2022,22,Vicky Turner,Perth,2,Croudace Bay Park,"Cottesloe Beach, Perth, WA 6011",865,Soil Quality Test,Description 20,2.54,Equipment 3,73.44,Compliant,5,141,Yes,No
21-03-2022,23,Grace Jones,Adelaide,24,Richley Reserve,"Rundle Mall, Adelaide, SA 5000",975,Water Quality Test,Description 67,1.03,Equipment 9,109.86,Compliant,1,895,Yes,Yes
12-02-2022,9,Rachel King,Hobart,13,Jesmond Park,"Salamanca Place, Hobart, TAS 7000",313,Water Quality Test,Description 28,4.07,Equipment 6,124.48,Compliant,4,4664,No,
13-11-2022,15,Diana Taylor,Darwin,17,Mount Sugarloaf,"Darwin Waterfront, Darwin, NT 0800",95,Soil Quality Test,Description 1,4.51,Equipment 17,444.16,Non-Compliant,5,2241,No,
14-12-2022,11,Catherine Lee,Canberra,17,Charlestown Park,"Lake Burley Griffin, Canberra, ACT 2600",656,Air Quality Check,Description 169,6.88,Equipment 14,308.72,Non-Compliant,4,1371,Yes,Yes
19-07-2022,4,Vicky Turner,Gold Coast,11,Toronto Foreshore,"Surfers Paradise Beach, Gold Coast, QLD 4217",77,Soil Quality Test,Description 117,1.64,Equipment 20,323.06,Non-Compliant,4,4961,Yes,No
21-11-2022,24,Olivia Hall,Newcastle,20,Watagan Mountains,"Shortland Esplanade, Newcastle, NSW 2300",621,Air Quality Check,Description 60,2.84,Equipment 20,57.64,Compliant,3,4196,Yes,No
30-05-2022,7,Hannah Moore,Sydney,13,Awaba State Forest,"Circular Quay, Sydney, NSW 2000",42,Soil Quality Test,Description 49,4.4,Equipment 7,111.28,Non-Compliant,5,3621,Yes,Yes
18-12-2022,8,Grace Jones,Melbourne,22,Heaton State Forest,"St Kilda Road, Melbourne, VIC 3004",961,Water Quality Test,Description 22,1.39,Equipment 3,110.33,Non-Compliant,4,4320,No,
31-12-2022,14,Samantha Wright,Brisbane,22,Lambton Park,"Queen Street Mall, Brisbane, QLD 4000",989,Water Quality Test,Description 91,1.23,Equipment 10,41.99,Non-Compliant,2,4586,Yes,Yes
20-01-2022,18,Alice Johnson,Perth,11,Richley Reserve,"Cottesloe Beach, Perth, WA 6011",523,Air Quality Check,Description 112,1.52,Equipment 5,410.65,Compliant,2,4693,No,
30-11-2022,10,Olivia Hall,Adelaide,19,Braye Park,"Glenelg Beach, Adelaide, SA 5045",716,Water Quality Test,Description 184,3.27,Equipment 7,387.05,Compliant,5,1373,No,
15-02-2022,9,Isabella Thompson,Hobart,22,Waratah Park,"Salamanca Place, Hobart, TAS 7000",49,Noise Level Measurement,Description 18,6.75,Equipment 4,262.2,Compliant,3,277,Yes,No
19-08-2022,15,Beth Smith,Darwin,11,King Edward Park,"Reserve Road, Newcastle, NSW 2300",274,Water Quality Test,Description 127,4.49,Equipment 8,392.22,Non-Compliant,1,846,Yes,Yes
02-02-2022,23,Tina Scott,Canberra,10,Blackbutt Nature Reserve,"Lake Burley Griffin, Canberra, ACT 2600",577,Soil Quality Test,Description 92,6.87,Equipment 5,170.88,Compliant,2,1798,No,
13-06-2022,8,Paula Young,Gold Coast,3,King Edward Park,"Surfers Paradise Beach, Gold Coast, QLD 4217",171,Noise Level Measurement,Description 189,7.2,Equipment 3,128.44,Compliant,5,3884,No,
28-04-2022,2,Kate Harris,Newcastle,18,Newcastle Beach,"Wharf Road, Newcastle East, NSW 2300",353,Air Quality Check,Description 135,2.86,Equipment 9,284.23,Compliant,5,1201,No,
29-06-2022,16,Megan Lewis,Sydney,18,Merewether Beach,"Darling Harbour, Sydney, NSW 2000",973,Noise Level Measurement,Description 140,3.67,Equipment 3,246.94,Compliant,5,3789,Yes,No
26-11-2022,10,Natalie Walker,Melbourne,22,Merewether Beach,"Federation Square, Melbourne, VIC 3000",523,Noise Level Measurement,Description 50,2.77,Equipment 6,422.56,Non-Compliant,2,3266,No,
14-03-2022,8,Ella Brown,Brisbane,22,Speers Point Park,"South Bank, Brisbane, QLD 4101",383,Water Quality Test,Description 45,6.9,Equipment 11,197.38,Compliant,4,3329,Yes,No
04-01-2022,19,Xena Perez,Perth,17,Warners Bay Foreshore,"Cottesloe Beach, Perth, WA 6011",769,Air Quality Check,Description 37,6.97,Equipment 11,397.12,Compliant,3,195,Yes,Yes
23-07-2022,18,Grace Jones,Adelaide,5,Redhead Beach,"Glenelg Beach, Adelaide, SA 5045",79,Noise Level Measurement,Description 38,2.86,Equipment 8,111.66,Non-Compliant,2,2030,Yes,Yes
01-06-2022,21,Xena Perez,Hobart,18,Glenrock State Conservation Area,"Scout Camp Road, Whitebridge, NSW 2290",294,Air Quality Check,Description 120,2.9,Equipment 8,353.86,Non-Compliant,3,940,No,
19-08-2022,5,Kate Harris,Darwin,5,Hunter Wetlands Centre,"Mindil Beach, Darwin, NT 0820",184,Noise Level Measurement,Description 133,3.85,Equipment 12,150.67,Non-Compliant,5,1256,Yes,No
31-12-2022,17,Uma Allen,Canberra,18,Croudace Bay Park,"Brooks Parade, Belmont, NSW 2280",449,Air Quality Check,Description 56,5.74,Equipment 3,406.59,Non-Compliant,3,4788,Yes,No
23-10-2022,24,Megan Lewis,Gold Coast,9,Belmont Wetlands State Park,"Broadbeach, Gold Coast, QLD 4218",138,Water Quality Test,Description 27,2.76,Equipment 19,308.36,Non-Compliant,5,4960,Yes,Yes
16-08-2022,7,Xena Perez,Newcastle,12,Jesmond Park,"Robinson Avenue, Jesmond, NSW 2299",70,Soil Quality Test,Description 160,4.63,Equipment 12,384.37,Non-Compliant,4,305,Yes,Yes
16-06-2022,8,Catherine Lee,Sydney,15,Mount Sugarloaf,"Reserve Road, Newcastle, NSW 2300",874,Water Quality Test,Description 21,1.41,Equipment 9,55.61,Compliant,1,1003,Yes,No
07-09-2022,16,Zoe Ward,Melbourne,10,Charlestown Park,"Federation Square, Melbourne, VIC 3000",26,Air Quality Check,Description 39,5.53,Equipment 9,29.06,Compliant,4,4675,No,
04-03-2022,11,Uma Allen,Brisbane,3,Toronto Foreshore,"South Bank, Brisbane, QLD 4101",202,Soil Quality Test,Description 122,1.72,Equipment 19,312.99,Compliant,4,2830,Yes,Yes
18-01-2022,9,Fiona Wilson,Perth,5,Watagan Mountains,"Kings Park, Perth, WA 6005",773,Noise Level Measurement,Description 179,7.13,Equipment 14,186.79,Compliant,4,397,Yes,No
23-05-2022,14,Catherine Lee,Adelaide,18,Awaba State Forest,"Glenelg Beach, Adelaide, SA 5045",411,Air Quality Check,Description 145,5.31,Equipment 14,96.5,Compliant,5,2790,Yes,No
29-11-2022,7,Olivia Hall,Hobart,23,Toronto Foreshore,"Salamanca Place, Hobart, TAS 7000",813,Soil Quality Test,Description 58,2.37,Equipment 2,149.86,Non-Compliant,5,3589,Yes,Yes
15-12-2022,7,Beth Smith,Darwin,19,Lambton Park,"Mindil Beach, Darwin, NT 0820",876,Water Quality Test,Description 47,2.51,Equipment 8,274.42,Non-Compliant,5,3152,No,
14-10-2022,13,Alice Johnson,Canberra,15,Jesmond Park,"Parliament House, Canberra, ACT 2600",286,Soil Quality Test,Description 23,1.92,Equipment 11,89.61,Non-Compliant,5,4129,Yes,Yes
31-05-2022,8,Vicky Turner,Gold Coast,22,Braye Park,"Broadbeach, Gold Coast, QLD 4218",610,Soil Quality Test,Description 177,5.79,Equipment 19,312.59,Compliant,4,4085,Yes,Yes
25-08-2022,3,Xena Perez,Newcastle,10,Waratah Park,"Shortland Esplanade, Newcastle, NSW 2300",52,Water Quality Test,Description 47,1.38,Equipment 6,347.97,Non-Compliant,3,239,Yes,Yes
09-09-2022,22,Olivia Hall,Sydney,24,King Edward Park,"Darling Harbour, Sydney, NSW 2000",988,Noise Level Measurement,Description 158,6.42,Equipment 2,437.54,Compliant,4,1359,No,
12-10-2022,24,Megan Lewis,Melbourne,15,Blackbutt Nature Reserve,"St Kilda Road, Melbourne, VIC 3004",602,Air Quality Check,Description 125,2.83,Equipment 10,155.1,Non-Compliant,5,4389,No,
17-04-2022,6,Catherine Lee,Brisbane,13,King Edward Park,"Queen Street Mall, Brisbane, QLD 4000",687,Noise Level Measurement,Description 14,5.55,Equipment 18,283.69,Compliant,2,4079,No,
30-08-2022,14,Isabella Thompson,Perth,12,Newcastle Beach,"Cottesloe Beach, Perth, WA 6011",81,Soil Quality Test,Description 92,1.02,Equipment 10,81.61,Non-Compliant,1,4074,Yes,No
03-07-2022,16,Tina Scott,Adelaide,13,Merewether Beach,"Glenelg Beach, Adelaide, SA 5045",941,Noise Level Measurement,Description 7,7.07,Equipment 6,28.66,Compliant,4,1005,Yes,No
20-05-2022,11,Laura Clark,Hobart,11,Nobbys Beach,"Salamanca Place, Hobart, TAS 7000",930,Noise Level Measurement,Description 141,6.97,Equipment 10,320.68,Compliant,5,932,Yes,No
18-11-2022,16,Xena Perez,Darwin,8,Speers Point Park,"Park Road, Speers Point, NSW 2284",854,Soil Quality Test,Description 71,3.48,Equipment 19,451.1,Compliant,4,3936,No,
21-07-2022,16,Natalie Walker,Canberra,10,Warners Bay Foreshore,"Parliament House, Canberra, ACT 2600",164,Soil Quality Test,Description 150,1.36,Equipment 5,333.81,Non-Compliant,5,3380,Yes,Yes
07-06-2022,23,Isabella Thompson,Gold Coast,15,Redhead Beach,"Surfers Paradise Beach, Gold Coast, QLD 4217",768,Air Quality Check,Description 153,6.77,Equipment 17,441.25,Compliant,3,4731,No,
24-12-2022,2,Jane White,Newcastle,10,Glenrock State Conservation Area,"Shortland Esplanade, Newcastle, NSW 2300",864,Noise Level Measurement,Description 3,1.22,Equipment 11,201.89,Compliant,5,484,Yes,No
11-06-2022,23,Uma Allen,Sydney,13,Hunter Wetlands Centre,"Sandgate Road, Shortland, NSW 2307",493,Soil Quality Test,Description 139,2.26,Equipment 15,293.65,Compliant,3,1715,Yes,Yes
17-02-2022,5,Megan Lewis,Melbourne,22,Croudace Bay Park,"St Kilda Road, Melbourne, VIC 3004",371,Air Quality Check,Description 194,6.96,Equipment 20,384.58,Non-Compliant,4,1127,Yes,Yes
30-06-2022,15,Paula Young,Brisbane,24,Belmont Wetlands State Park,"South Bank, Brisbane, QLD 4101",3,Noise Level Measurement,Description 25,7.59,Equipment 10,417.72,Compliant,4,4127,Yes,No
02-07-2022,9,Yvonne Cook,Perth,5,Jesmond Park,"Robinson Avenue, Jesmond, NSW 2299",539,Air Quality Check,Description 22,3.85,Equipment 19,390.59,Non-Compliant,1,1563,No,
22-07-2022,16,Yvonne Cook,Adelaide,19,Mount Sugarloaf,"Rundle Mall, Adelaide, SA 5000",421,Noise Level Measurement,Description 39,5.97,Equipment 20,187.81,Compliant,5,3304,No,
